ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: site-sidebar-layout","Meta: ast-site-content-layout","Meta: site-content-style","Meta: site-sidebar-style","Meta: theme-transparent-header-meta","Meta: rank_math_analytic_object_id","Meta: rank_math_internal_links_processed","Meta: _tribe_ticket_capacity","Meta: _tribe_ticket_version","Meta: rank_math_seo_score","Meta: _ppcp_button_position","Meta: rank_math_primary_product_brand","Meta: rank_math_primary_product_cat","Meta: _woo_ml_product_tracked","Meta: _woo_ml_product_ignored","Meta: astra-migrate-meta-layouts","Meta: rank_math_focus_keyword","Download 1 ID","Download 1 name","Download 1 URL","Download 2 ID","Download 2 name","Download 2 URL"
593,simple,,,"Stillness Affirmation Card Deck — Now Available for Pre-Order!",1,0,visible,"Unlock the power of intention with the Stillness Affirmation Card Deck—a beautifully designed collection of mindful affirmations to inspire self-reflection, clarity, and inner peace. Each card is a gentle reminder to slow down, breathe, and reconnect with yourself. Whether used in your morning routine, meditation practice, or as a thoughtful gift, these affirmations will guide you toward a more centered and intentional life.
\n
\nThis is a pre-order item. Orders will be collected in advance, and shipping will begin in August 2026. Secure your deck today and be among the first to receive this transformative tool for daily mindfulness.
\n
\nLet your journey to stillness begin.",,,,taxable,,1,,,0,0,,,,,0,,,45.99,Stillness,,,"https://wearestillness.com/wp-content/uploads/2025/03/WhatsApp-Image-2025-03-12-at-14.52.40_3d366785.png, https://wearestillness.com/wp-content/uploads/2025/03/IMG-20250311-WA0019.jpg, https://wearestillness.com/wp-content/uploads/2025/03/WhatsApp-Image-2025-03-11-at-15.31.56_f798b51a.jpg, https://wearestillness.com/wp-content/uploads/2025/03/IMG-20250311-WA0022.jpg, https://wearestillness.com/wp-content/uploads/2025/03/IMG-20250311-WA0021.jpg, https://wearestillness.com/wp-content/uploads/2025/03/IMG-20250311-WA0020.jpg",,,,,,,,,0,,default,default,default,default,default,2,1,0,5.23.1,12,bottom,0,0,1,,set,,,,,,,
608,"simple, virtual",,,"Your Personalized Astrology Report",1,0,visible,"<i><span style=""font-weight: 400;"">A decoding of your emotional blueprint, written just for you.</span></i>
\n
\n<strong>What It Is</strong>
\n
\n<span style=""font-weight: 400;"">This isn’t a generic horoscope. It’s a personalized, intuitive interpretation of your birth chart—crafted to help you understand your emotional rhythms, relational patterns, and soul-level themes.</span>
\n
\n<strong>Why It Matters</strong>
\n
\n<span style=""font-weight: 400;"">Because you deserve to understand yourself—beyond surface traits and stereotypes.</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;""> Because astrology isn’t about prediction. It’s about permission.</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;""> Because when you see your chart clearly, you begin to see your life differently.</span>","<h6><strong> What You’ll Receive</strong></h6>
\n<ul>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">A custom-written astrology report based on your birth date, time, and location</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Emotional insights into your strengths, sensitivities, and inner conflicts</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Reflections on love, career, creativity, and personal growth</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Soulful interpretations of your Sun, Moon, Rising, and planetary placements</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">A summary that ties it all together</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Designed for digital or print use </span></li>
\n</ul>
\n<h6><strong>How It Works</strong></h6>
\n<ol>
\n 	<li><span style=""font-weight: 400;"">Purchase the report</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Submit your birth details (date, time, location)</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Receive your personalized PDF within 3–5 days</span></li>
\n</ol>
\n<b>Delivery:</b><span style=""font-weight: 400;""> PDF via email within 3–5 days of submitting birth details</span>",,,taxable,,1,,,0,0,,,,,0,,,74.99,Stillness,,,"https://wearestillness.com/wp-content/uploads/2025/10/Mockup-02.png, https://wearestillness.com/wp-content/uploads/2025/10/Mockup-04.png",,,,,,,,,0,,default,default,default,default,default,1,1,0,5.23.1,12,bottom,0,0,1,,set,,,,,,,
3184,simple,,,"Mini Moments – Affirmation Cards for Kids",1,0,visible,"<b>Confidence. Kindness. Joy. One card at a time.</b><b>
\n</b><span style=""font-weight: 400;""> A playful deck of daily affirmations and action prompts for kids aged 5–11. Designed to spark self-love, emotional awareness, and giggles—whether at breakfast, bedtime, or in the car.</span>
\n
\n<span style=""font-weight: 400;"">What’s in the Box?</span>
\n<ul>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Includes:</b><span style=""font-weight: 400;""> 40 cards (40 affirmations + 40 matching action prompts)</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Card size:</b><span style=""font-weight: 400;""> 3.5 x 5.5 inches (fits perfectly in little hands)</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Finish:</b><span style=""font-weight: 400;""> Matte, soft-touch coating for a premium feel</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Packaging:</b><span style=""font-weight: 400;""> Rigid tuck box with warm, whimsical design</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Ages:</b><span style=""font-weight: 400;""> 5–11 (but grown-ups love them too!)</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Shipping note:</b><span style=""font-weight: 400;""> Ships from BC, Canada. Packaged with care and a little magic.</span></li>
\n</ul>
\n<span style=""font-weight: 400;"">Perfect for families, educators, and anyone who wants to nurture emotional strength in children—gently, joyfully, and with intention.</span>","<span style=""font-weight: 400;"">How to Use this deck</span>
\n<ul>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Morning Boost:</b><span style=""font-weight: 400;""> Start the day by pulling one affirmation card. Let your child repeat the affirmation out loud, then do the action together—like a stretch, dance, or hug.</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Lunchbox Love:</b><span style=""font-weight: 400;""> Slip a card into your child’s lunchbox for a midday confidence boost. They can read it to themselves or share it with a friend.</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Bedtime Wind-Down:</b><span style=""font-weight: 400;""> Choose a calming affirmation and gentle action to help your child reflect on their day and settle into sleep.</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Emotional Check-In:</b><span style=""font-weight: 400;""> When your child feels overwhelmed, let them pick a card that speaks to how they want to feel. Use the action to help them shift or express their emotions.</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Family Ritual:</b><span style=""font-weight: 400;""> Make it a daily tradition—each family member picks a card and shares how it makes them feel.</span></li>
\n</ul>",,,taxable,,1,,,0,0,0.2,8,6,1,0,,,35,Stillness,,,"https://wearestillness.com/wp-content/uploads/2025/10/unnamed-1.jpg, https://wearestillness.com/wp-content/uploads/2025/10/unnamed-3.jpg, https://wearestillness.com/wp-content/uploads/2025/10/unnamed-2.jpg",,,,,,,,,0,,default,default,default,default,default,,1,,,10,bottom,0,0,1,,set,,,,,,,
3189,simple,,,"In this Little Life – Kids Card Deck for Emotional Connection",1,0,visible,"<b>Gentle words for big feelings.</b><b>
\n</b><i><span style=""font-weight: 400;"">In this little life</span></i><span style=""font-weight: 400;""> is a deck of 40 gentle, soul-stirring questions designed to help kids aged 5–11 explore their feelings, curiosities, and inner world. Each card invites your child to ask something meaningful—like </span><i><span style=""font-weight: 400;"">“What makes me special?”</span></i><span style=""font-weight: 400;""> or </span><i><span style=""font-weight: 400;"">“What do you love most about me?”</span></i><span style=""font-weight: 400;"">—giving parents a chance to respond with truth, tenderness, and emotional language that lasts a lifetime.</span>
\n
\n<span style=""font-weight: 400;"">This deck is more than conversation—it’s connection. A ritual of slowing down, listening deeply, and showing your child how much they matter through your words.</span>
\n<ul>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Includes:</b><span style=""font-weight: 400;""> 40 question cards</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Card size:</b><span style=""font-weight: 400;""> 3.5 x 3.5 inches</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Finish:</b><span style=""font-weight: 400;""> Matte, soft-touch coating</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Packaging:</b><span style=""font-weight: 400;""> Rigid tuck box with dreamy, calming design</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Ages:</b><span style=""font-weight: 400;""> 5–11</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Shipping note:</b><span style=""font-weight: 400;""> Ships from BC, Canada. Packaged with care and a little magic.</span></li>
\n</ul>
\n<span style=""font-weight: 400;"">✨ Perfect for sensitive kids, quiet mornings, and cozy bedtime routines.</span><span style=""font-weight: 400;"">
\n</span><span style=""font-weight: 400;""> 🎁 Makes a heartfelt gift for families, educators, or anyone supporting a child’s emotional world.</span>","<span style=""font-weight: 400;"">How to Use this deck:</span>
\n
\n<span style=""font-weight: 400;"">This deck is meant to be opened slowly, gently, and with presence. Each card holds a question your child will ask you—an invitation to pause, listen, and respond with love. Kids Card Deck for Emotional Connection</span>
\n
\n<span style=""font-weight: 400;"">💬 Daily Ritual</span>
\n<ul>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Let your child choose one card at a time.</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Read the question together. Let them ask it in their own words.</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Answer honestly, with warmth. Your words shape how they see themselves.</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Invite them to share their own thoughts too—there’s no right answer.</span></li>
\n</ul>",,,taxable,,1,,,0,0,0.135,8.8,5,8.8,0,,,35,Stillness,,,"https://wearestillness.com/wp-content/uploads/2025/10/unnamed-4.jpg, https://wearestillness.com/wp-content/uploads/2025/10/unnamed-5.jpg",,,,,,,,,0,,default,default,default,default,default,,1,,,53,bottom,0,0,1,,set,"Kids card deck for emotional connection",,,,,,
3701,"simple, downloadable",,,"Self Love Journal",1,0,visible,"A two-part journaling experience that connects you to yourself — and to someone who’s been where you are.
\nThis isn’t a regular journal. It’s a shared ritual.
\nYou receive two digital journals: one blank, and one already filled by someone else.
\nYou read their story first — raw, honest, anonymous.
\nThen you write your own.
\n
\n<strong>What You Get</strong>
\n<ul>
\n 	<li>One filled journal written by our team each month, inspired by real human emotions and shared experiences</li>
\n 	<li>One blank journal with guided prompts, reflections, and gentle direction</li>
\n 	<li>20+ pages of self-love, emotional healing, and inner clarity</li>
\n 	<li>An optional invitation to submit your own story anonymously</li>
\n</ul>
\n<strong>Why It Works</strong>
\nYou’re not just journaling. You’re connecting. Reading someone else’s truth disarms your defenses, opens your chest, and makes it easier to face your own. It’s simple. It’s intimate. And it hits unexpectedly deep.",,,,taxable,,1,,,0,0,,,,,0,,,25,Stillness,,,"https://wearestillness.com/wp-content/uploads/2025/10/2.png, https://wearestillness.com/wp-content/uploads/2025/10/3.png, https://wearestillness.com/wp-content/uploads/2025/10/1.png, https://wearestillness.com/wp-content/uploads/2025/10/4.png",-1,-1,,,,,,,0,,default,default,default,default,default,,1,,,11,bottom,0,0,1,,set,,24a33f03-1ecf-47ba-b18d-4b649b5684ff,"Stillness Love Eventually",https://wearestillness.com/wp-content/uploads/woocommerce_uploads/2025/11/Love-Eventually-Jenna-ceb26q.pdf,8e19e3dd-11f9-47e4-bb0a-425162030691,"Love, Eventually Jenna",https://wearestillness.com/wp-content/uploads/woocommerce_uploads/2025/11/Love-Eventually-Jenna-ceb26q.pdf
